,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
23643,Audi, A3,"£19,995",2020,Manual,45.6 mpg,Tax: £170,"Mileage: 21,562",Petrol,red,1.5 TFSI 35 S line Sportback 5dr Petrol Manual Euro 6 (s/s) [Tadley] ULEZ|FINANCE AVAILABLE
23644,Audi, A5,"£20,995",2019,Manual,37.2 mpg,Tax: £170,"Mileage: 34,500",Petrol,red,40 TFSI S Line Edition 2dr
23645,Audi, A3,"£31,990",2023,Semi-Auto,46.3 mpg,Tax: £170,"Mileage: 5,000",Petrol,red,3 35 TFSI S Line 5dr S Tronic
23733,Audi, A3,"£27,999",2022,Semi-Auto,46.3 mpg,Tax: £170,"Mileage: 6,900",Petrol,red,3 35 TFSI Edition 1 5dr S Tronic
23734,Audi, A3,"£16,499",2017,Semi-Auto,55.4 mpg,Tax: £35,"Mileage: 37,372",Petrol,red,3 1.4 TFSI S Line 2dr S Tronic
23735,Audi, A3,"£16,090",2017,Semi-Auto,54.3 mpg,Tax: £180,"Mileage: 45,000",Petrol,red,3 1.5 TFSI S Line 2dr S Tronic
23736,Audi, A7,"£38,990",2023,Semi-Auto,47.1 mpg,Tax: £170,"Mileage: 9,555",Diesel,red,40 TDI Quattro S Line 5dr S Tronic
23737,Audi, Q2,"£21,350",2018,Semi-Auto,44.8 mpg,Tax: £180,"Mileage: 25,000",Petrol,red,2.0 TFSI QUATTRO S LINE 5d 188 BHP
23738,Audi, Q2,"£16,100",2018,Manual,52.3 mpg,Tax: £180,"Mileage: 34,000",Petrol,red,1.4 TFSI SPORT 5d 148 BHP
23739,Audi, A3,"£21,900",2021,Manual,46.3 mpg,Tax: £180,"Mileage: 7,000",Petrol,red,1.5 TFSI S LINE 4d 148 BHP
23740,Audi, RS4,"£45,900",2019,Semi-Auto,29.1 mpg,Tax: £155,"Mileage: 46,945",Petrol,red,RS 4 TFSI Quattro Sport Edition 5dr S Tronic
23741,Audi, A1,"£18,500",2020,Manual,48.7 mpg,Tax: £180,"Mileage: 8,268",Petrol,red,30 TFSI Sport 5dr
23826,Audi, A4,"£19,650",2019,Manual,38.2 mpg,Tax: £170,"Mileage: 38,685",Petrol,red,4 35 TFSI S Line 5dr
23827,Audi, A6,"£30,990",2019,Semi-Auto,47.9 mpg,Tax: n/a,"Mileage: 19,953",Diesel,red,40 TDI Black Edition 5dr S Tronic
23828,Audi, Q2,"£14,290",2017,Manual,52.3 mpg,Tax: £180,"Mileage: 52,444",Petrol,red,1.4 TFSI Sport 5dr
23829,Audi, A4,"£13,874",2018,Semi-Auto,48.7 mpg,Tax: £180,"Mileage: 80,543",Diesel,red,4 35 TDI Sport 5dr S Tronic
23830,Audi, A3,"£17,999",2019,Manual,42.8 mpg,Tax: £180,"Mileage: 25,202",Petrol,red,3 35 TFSI Black Edition 4dr
23831,Audi, A1,"£20,490",2020,Semi-Auto,44.1 mpg,Tax: £180,"Mileage: 8,478",Petrol,red,30 TFSI Citycarver 5dr S Tronic
23832,Audi, Q2,"£16,800",2019,Manual,47.9 mpg,Tax: £180,"Mileage: 21,039",Diesel,red,"1.6 TDI 30 S line SUV 5dr Diesel Manual Euro 6 (s/s) (116 ps) S Line Body Styling,Part Leath"
23833,Audi, A3,"£17,000",2018,Automatic,47.9 mpg,Tax: £180,"Mileage: 31,974",Petrol,red,"Cabriolet 2.0 TFSI Sport Convertible 2dr Petrol S Tronic Euro 6 (s/s) (190 ps) Bluetooth,Electric"
23834,Audi, Q2,"£15,400",2020,Manual,47.1 mpg,Tax: £180,"Mileage: 41,620",Petrol,red,"1.0 TFSI 30 Sport SUV 5dr Petrol Manual Euro 6 (s/s) (116 ps) Android Auto,Apple CarPlay"
23919,Audi, Q3,"£19,900",2018,Semi-Auto,47.9 mpg,Tax: £180,"Mileage: 24,030",Petrol,red,1.4T FSI S Line Edition 5dr S Tronic
23920,Audi, Q2,"£18,400",2019,Manual,43.5 mpg,Tax: £180,"Mileage: 32,915",Petrol,red,30 TFSI Black Edition 5dr
23921,Audi, A6,"£18,195",2017,Automatic,56.5 mpg,Tax: £180,"Mileage: 49,800",Diesel,red,2.0 TDI Black Edition S Tronic quattro Euro 6 (s/s) 4dr Zero deposit finance available
23922,Audi, TT,"£41,950",2023,Automatic,41.5 mpg,Tax: n/a,Mileage: 10,Petrol,red,40 TFSI Final Edition 2dr S Tronic
23923,Audi, A3,"£39,950",2023,Automatic,235.4 mpg,Tax: n/a,"Mileage: 2,321",Hybrid,red,40 TFSI e S Line 5dr S Tronic
23924,Audi, A3,"£39,950",2023,Automatic,47.1 mpg,Tax: n/a,"Mileage: 5,086",Petrol,red,35 TFSI Black Edition 5dr S Tronic
23925,Audi, A7,"£46,950",2023,Automatic,35.3 mpg,Tax: £170,"Mileage: 5,411",Petrol,red,45 TFSI 265 Quattro Black Edition 5dr S Tronic
23926,Audi, A1,"£25,950",2023,Automatic,46.3 mpg,Tax: £180,"Mileage: 7,361",Petrol,red,30 TFSI 110 S Line 5dr S Tronic
23927,Audi, A1,"£18,950",2020,Manual,50.4 mpg,Tax: £180,"Mileage: 11,960",Petrol,red,30 TFSI 110 Sport 5dr
24013,Audi, A3,"£27,950",2019,Automatic,34.9 mpg,Tax: £180,"Mileage: 34,345",Petrol,red,S3 TFSI 300 Quattro Black Edition 5dr S Tronic
24014,Audi, A3,"£33,445",2023,Automatic,57.7 mpg,Tax: £180,"Mileage: 9,723",Diesel,red,35 TDI Edition 1 5dr S Tronic
24015,Audi, A3,"£26,445",2019,Automatic,33.2 mpg,Tax: £180,"Mileage: 11,300",Petrol,red,S3 TFSI 300 Quattro 2dr S Tronic
24016,Audi, TT,"£25,445",2020,Automatic,40.9 mpg,Tax: £180,"Mileage: 15,489",Petrol,red,40 TFSI S Line 2dr S Tronic
24017,Audi, A7,"£35,445",2020,Automatic,33.6 mpg,Tax: £170,"Mileage: 19,424",Petrol,red,45 TFSI Quattro Black Edition 5dr S Tronic
24018,Audi, A1,"£17,500",2020,Manual,50.4 mpg,Tax: £180,"Mileage: 6,522",Petrol,red,30 TFSI 110 Sport 5dr
24019,Audi, A1,"£27,000",2023,Semi-Auto,47.9 mpg,Tax: £180,"Mileage: 7,755",Petrol,red,35 TFSI S Line 5dr S Tronic
24020,Audi, A1,"£26,000",2023,Semi-Auto,45.6 mpg,Tax: £180,"Mileage: 8,000",Petrol,red,25 TFSI Black Edition 5dr S Tronic
24021,Audi, Q2,"£21,500",2017,Semi-Auto,52.3 mpg,Tax: £180,"Mileage: 13,451",Petrol,red,1.4 TFSI S Line 5dr S Tronic
24022,Audi, RS3,"£50,000",2022,Semi-Auto,31.4 mpg,Tax: n/a,"Mileage: 23,612",Petrol,red,RS 3 TFSI Quattro Vorsprung 4dr S Tronic
24106,Audi, A1,"£18,250",2020,Semi-Auto,44.8 mpg,Tax: £180,"Mileage: 33,260",Petrol,red,35 TFSI S Line 5dr S Tronic
24107,Audi, RS5,"£48,000",2020,Semi-Auto,29.7 mpg,Tax: £180,"Mileage: 38,122",Petrol,red,RS 5 TFSI Quattro 5dr Tiptronic
24108,Audi, A5,"£14,200",2018,Manual,47.1 mpg,Tax: £170,"Mileage: 66,210",Petrol,red,2.0 TFSI S line Euro 6 (s/s) 2dr SVC HISTORY PARKING SENSORS
24109,Audi, A1,"£28,000",2023,Semi-Auto,46.3 mpg,Tax: £180,"Mileage: 1,000",Petrol,red,30 TFSI 110 S Line 5dr S Tronic
24110,Audi, TT,"£45,000",2023,Semi-Auto,41.5 mpg,Tax: £180,"Mileage: 1,000",Petrol,red,40 TFSI Final Edition 2dr S Tronic
24111,Audi, A3,"£30,000",2023,Manual,50.4 mpg,Tax: £180,"Mileage: 3,000",Petrol,red,3 30 TFSI S Line 4dr
24112,Audi, A1,"£23,900",2023,Manual,47.9 mpg,Tax: £180,"Mileage: 6,000",Petrol,red,25 TFSI S Line 5dr
24113,Audi, A3,"£31,000",2023,Manual,46.3 mpg,Tax: £180,"Mileage: 8,000",Petrol,red,3 35 TFSI S Line 4dr
24114,Audi, A3,"£24,900",2021,Semi-Auto,235.4 mpg,Tax: £170,"Mileage: 15,800",Hybrid,red,3 40 TFSI e S Line 5dr S Tronic
24115,Audi, A3,"£21,000",2021,Semi-Auto,51.4 mpg,Tax: £170,"Mileage: 22,500",Petrol,red,3 30 TFSI S line 5dr S Tronic
24194,Audi, Q3,"£25,900",2021,Manual,40.9 mpg,Tax: £180,"Mileage: 23,851",Petrol,red,35 TFSI S Line 5dr
24195,Audi, A3,"£24,900",2023,Manual,48.7 mpg,Tax: n/a,"Mileage: 4,037",Petrol,red,3 30 TFSI S Line 5dr
24196,Audi, A3,"£21,800",2022,Semi-Auto,53.3 mpg,Tax: £170,"Mileage: 10,314",Petrol,red,3 30 TFSI Sport 5dr S Tronic
24197,Audi, A1,"£26,990",2023,Manual,49.6 mpg,Tax: £180,"Mileage: 2,300",Petrol,red,30 TFSI 110 Black Edition 5dr
24198,Audi, A3,"£33,990",2023,Automatic,57.7 mpg,Tax: £180,"Mileage: 11,444",Diesel,red,35 TDI Edition 1 5dr S Tronic
24199,Audi, A4,"£21,117",2020,Automatic,38.2 mpg,Tax: £170,"Mileage: 49,438",Petrol,red,Avant 2.0 TFSI 35 Black Edition Estate 5dr Petrol S Tronic Euro 6 (s/s) (150 ps)
24200,Audi, A3,"£14,790",2019,Manual,48.7 mpg,Tax: £180,"Mileage: 19,365",Petrol,red,3 30 TFSI 116 SE Technik 5dr
24201,Audi, A3,"£20,348",2019,Semi-Auto,41.5 mpg,Tax: £180,"Mileage: 30,698",Petrol,red,3 35 TFSI Sport 2dr S Tronic
24202,Audi, Q2,"£14,500",2017,Manual,52.3 mpg,Tax: £180,"Mileage: 40,000",Petrol,red,1.4 TFSI CoD Sport Euro 6 (s/s) 5dr CAMBELT REPLACED IN 2022
24290,Audi, Q5,"£23,000",2019,Automatic,38.2 mpg,Tax: £180,"Mileage: 48,000",Diesel,red,2.0 TDI 40 S line S Tronic quattro Euro 6 (s/s) 5dr SAT NAV-ALLOYS-S LINE
24291,Audi, Q2,"£18,500",2020,Manual,49.6 mpg,Tax: £180,"Mileage: 21,242",Diesel,red,30 TDI Sport 5dr
24292,Audi, TT,"£18,990",2019,Manual,38.2 mpg,Tax: £180,"Mileage: 21,883",Petrol,red,45 TFSI Sport 2dr
24293,Audi, A3,"£37,490",2023,Automatic,47.1 mpg,Tax: n/a,"Mileage: 2,758",Petrol,red,35 TFSI Black Edition 5dr S Tronic
24294,Audi, A3,"£28,490",2020,Automatic,34.5 mpg,Tax: £180,"Mileage: 27,500",Petrol,red,S3 TFSI 300 Quattro Black Edition 5dr S Tronic
24295,Audi, A7,"£38,050",2021,Semi-Auto,30.4 mpg,Tax: £170,"Mileage: 16,168",Petrol,red,55 TFSI Quattro S Line 5dr S Tronic
24296,Audi, A3,"£25,000",2020,Semi-Auto,46.3 mpg,Tax: £170,"Mileage: 20,654",Petrol,red,3 35 TFSI S Line 5dr S Tronic
24297,Audi, A3,"£21,750",2022,Manual,48.7 mpg,Tax: £180,"Mileage: 20,300",Petrol,red,3 30 TFSI S Line 5dr
24298,Audi, Q2,"£20,400",2019,Semi-Auto,40.9 mpg,Tax: £180,"Mileage: 20,926",Petrol,red,35 TFSI S Line 5dr S Tronic
24386,Audi, A1,"£26,000",2022,Semi-Auto,44.8 mpg,Tax: £180,Mileage: 563,Petrol,red,35 TFSI S Line 5dr S Tronic
24387,Audi, A3,"£27,000",2020,Manual,44.8 mpg,Tax: £180,"Mileage: 9,506",Petrol,red,3 35 TFSI Edition 1 5dr
24388,Audi, A3,"£26,500",2021,Semi-Auto,235.4 mpg,Tax: £170,"Mileage: 13,553",Hybrid,red,3 40 TFSI e S Line 5dr S Tronic
24389,Audi, Q5,"£29,750",2018,Semi-Auto,40.4 mpg,Tax: £180,"Mileage: 13,793",Petrol,red,2.0T FSI Quattro S Line 5dr S Tronic
24390,Audi, TT,"£17,500",2017,Manual,47.1 mpg,Tax: £180,"Mileage: 46,000",Petrol,red,1.8T FSI Black Edition 2dr
24391,Audi, A1,"£14,000",2018,Manual,70.6 mpg,Tax: £180,"Mileage: 36,685",Petrol,red,1.4 TFSI 150 Black Edition Nav 5dr
24392,Audi, Q2,"£13,879",2019,Manual,47.9 mpg,Tax: £180,"Mileage: 32,400",Petrol,red,1.0 30 TFSI SE
24393,Audi, Q2,"£18,750",2020,Manual,45.6 mpg,Tax: £180,"Mileage: 24,095",Petrol,red,30 TFSI S Line 5dr
24394,Audi, A3,"£11,800",2018,Manual,43.5 mpg,Tax: £180,"Mileage: 59,670",Petrol,red,1.5 TFSI CoD 35 SE Technik Sportback Euro 6 (s/s) 5dr SAT NAV PARKING SENSORS
24481,Audi, Q2,"£14,330",2018,Manual,52.3 mpg,Tax: £180,"Mileage: 48,502",Petrol,red,1.4 TFSI Sport 5dr
24482,Audi, Q3,"£48,500",2023,Semi-Auto,134.5 mpg,Tax: £170,"Mileage: 1,430",Hybrid,red,45 TFSI e Vorsprung 5dr S Tronic
24483,Audi, A1,"£23,495",2023,Semi-Auto,47.1 mpg,Tax: £165,"Mileage: 7,350",Petrol,red,30 TFSI 110 Sport 5dr S Tronic
24484,Audi, A1,"£24,795",2021,Semi-Auto,44.1 mpg,Tax: £180,"Mileage: 9,998",Petrol,red,35 TFSI Black Edition 5dr S Tronic
24485,Audi, TT,"£24,995",2018,Semi-Auto,40.9 mpg,Tax: £180,"Mileage: 32,000",Petrol,red,2.0T FSI Quattro TTS 2dr S Tronic
24486,Audi, A3,"£16,495",2019,Automatic,42.2 mpg,Tax: £180,"Mileage: 36,955",Petrol,red,1.5 TFSI CoD 35 Sport
24487,Audi, A1,"£22,650",2022,Manual,49.6 mpg,Tax: £180,"Mileage: 10,321",Petrol,red,30 TFSI 110 S Line 5dr
24488,Audi, Q2,"£25,850",2022,Manual,45.6 mpg,Tax: £180,"Mileage: 12,000",Petrol,red,35 TFSI S Line 5dr
