,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
10025,Kia, Sportage,"£19,990",2020,Manual,32.1 mpg,Tax: £180,"Mileage: 28,824",Petrol,blue,e 1.6T GDi ISG 3 5dr [AWD]
10026,Kia, Sportage,"£36,699",2023,Automatic,44.1 mpg,Tax: £170,"Mileage: 5,298",Hybrid,blue,e 1.6T GDi HEV GT-Line S 5dr Auto AWD
10027,Kia, Sportage,"£36,299",2023,Automatic,44.1 mpg,Tax: £170,"Mileage: 5,724",Hybrid,blue,e 1.6T GDi HEV GT-Line S 5dr Auto AWD
10028,Kia, Sportage,"£36,399",2023,Automatic,48.7 mpg,Tax: £170,"Mileage: 7,775",Hybrid,blue,e 1.6T GDi HEV GT-Line S 5dr Auto
10115,Kia, Sportage,"£16,299",2020,Manual,34.9 mpg,Tax: £180,"Mileage: 36,178",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr
10116,Kia, Picanto,"£10,266",2018,Manual,61.4 mpg,Tax: £180,"Mileage: 34,481",Petrol,blue,1.25 GT-line S 5dr
10117,Kia, Sorento,"£37,350",2021,Automatic,176.6 mpg,Tax: £170,"Mileage: 18,072",Hybrid,blue,1.6 T-GDi PHEV 3 5dr Auto
10118,Kia, Ceed,"£13,200",2018,Manual,46.3 mpg,Tax: £180,"Mileage: 23,590",Petrol,blue,1.4T GDi ISG Blue Edition 5dr
10119,Kia, Niro,"£19,200",2020,Automatic,65.7 mpg,Tax: £170,"Mileage: 40,328",Hybrid,blue,1.6 GDi Hybrid 4 5dr DCT
10120,Kia, Picanto,"£8,157",2018,Manual,56.5 mpg,Tax: £180,"Mileage: 33,604",Petrol,blue,1.0 2 5dr
10121,Kia, Picanto,"£11,353",2021,Manual,58.9 mpg,Tax: £180,"Mileage: 2,913",Petrol,blue,1.0 2 5dr [4 seats]
10122,Kia, Rio,"£18,000",2023,Automatic,50.4 mpg,Tax: £180,"Mileage: 3,565",Petrol,blue,1.0 T GDi 2 5dr DCT
10123,Kia, Sportage,"£27,793",2023,Manual,41.5 mpg,Tax: £180,"Mileage: 9,302",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr
10208,Kia, Sportage,"£19,843",2021,Manual,31.7 mpg,Tax: £180,"Mileage: 21,000",Petrol,blue,e 1.6T GDi ISG 3 5dr [AWD]
10209,Kia, Niro,"£18,872",2020,Automatic,65.7 mpg,Tax: £170,"Mileage: 34,901",Hybrid,blue,1.6 GDi Hybrid 3 5dr DCT
10210,Kia, Pro Ceed,"£16,000",2019,Automatic,54.3 mpg,Tax: £180,"Mileage: 38,522",Diesel,blue,1.6 CRDi ISG GT-Line 5dr DCT
10211,Kia, Venga,"£9,284",2017,Manual,64.2 mpg,Tax: £180,"Mileage: 39,483",Diesel,blue,1.6 CRDi ISG 4 5dr
10212,Kia, Sportage,"£26,490",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 10,672",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr
10213,Kia, Xceed,"£18,990",2023,Manual,44.8 mpg,Tax: £180,"Mileage: 12,769",Petrol,blue,1.5T GDi ISG 3 5dr
10214,Kia, Rio,"£13,990",2021,Manual,52.3 mpg,Tax: £180,"Mileage: 19,429",Petrol,blue,1.0 T GDi 2 5dr
10215,Kia, Niro,"£16,500",2019,Automatic,58.9 mpg,Tax: £170,"Mileage: 8,000",Hybrid,blue,1.6 GDi Hybrid 2 5dr DCT
10216,Kia, Rio,"£17,694",2023,Automatic,50.4 mpg,Tax: £180,"Mileage: 4,448",Petrol,blue,1.0 T GDi 2 5dr DCT
10217,Kia, Sportage,"£35,861",2023,Automatic,48.7 mpg,Tax: £170,"Mileage: 7,960",Hybrid,blue,e 1.6T GDi HEV GT-Line S 5dr Auto
10300,Kia, Sportage,"£26,000",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 6,039",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr
10301,Kia, Sportage,"£25,700",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 8,609",Petrol,blue,e 1.6T GDi ISG GT-Line 5dr
