brand,price,mileage,transmission,year,fuel,performance,emission
brand,price,mileage,transmission,year,fuel,performance,emission
Kia,12990,28.252 km,Schaltgetriebe,11/2016,Benzin,99 kW (135 PS),"141 g/km (komb.) | 6,3 l/100 km (komb.)"
Mercedes-Benz,22499,69.931 km,Automatik,07/2017,Benzin,115 kW (156 PS),"130 g/km (komb.) | 5,6 l/100 km (komb.)"
Kia,17490,110.880 km,Automatik,11/2019,Diesel,100 kW (136 PS),"109 g/km (komb.) | 4,2 l/100 km (komb.)"
Lamborghini,549999,3.640 km,Automatik,12/2022,Benzin,580 kW (789 PS),"- (g/km) | 12,7 l/100 km (komb.)"
Fiat,4990,117.000 km,Schaltgetriebe,12/2009,Benzin,51 kW (69 PS),"121 g/km (komb.) | 5,1 l/100 km (komb.)"
Hyundai,14990,10.000 km,Schaltgetriebe,04/2019,Benzin,88 kW (120 PS),"119 g/km (komb.) | 5,1 l/100 km (komb.)"
Volkswagen,25980,8.600 km,Schaltgetriebe,01/2023,Benzin,110 kW (150 PS),"146 g/km (komb.) | 6,4 l/100 km (komb.)"
Jaguar,26850,63.560 km,Automatik,07/2020,Diesel,132 kW (179 PS),158 g/km (komb.) | 6 l/100 km (komb.)
Audi,34250,45.700 km,Automatik,03/2021,Benzin,180 kW (245 PS),"144 g/km (komb.) | 6,3 l/100 km (komb.)"
Mitsubishi,18900,39.862 km,Automatik,07/2018,Benzin,120 kW (163 PS),- (g/km)
Audi,13740,94.900 km,Schaltgetriebe,06/2018,Diesel,66 kW (90 PS),"102 g/km (komb.) | 4,1 l/100 km (komb.)"
Mercedes-Benz,19899,33.054 km,Automatik,02/2018,Benzin,115 kW (156 PS),"130 g/km (komb.) | 5,7 l/100 km (komb.)"
BMW,48950,38.927 km,Automatik,06/2018,Benzin,331 kW (450 PS),"203 g/km (komb.) | 8,7 l/100 km (komb.)"
Mercedes-Benz,37870,81.200 km,Automatik,01/2020,Diesel,143 kW (194 PS),"164 g/km (komb.) | 6,2 l/100 km (komb.)"
brand,price,mileage,transmission,year,fuel,performance,emission
Opel,18990,57.887 km,Automatik,11/2019,Benzin,96 kW (131 PS),"164 g/km (komb.) | 7,2 l/100 km (komb.)"
Renault,29999,10 km,Automatik,12/2023,Elektro/Benzin,105 kW (143 PS),"96 g/km (komb.) | 4,2 l/100 km (komb.)"
Mercedes-Benz,41690,13.450 km,Automatik,11/2021,Elektro/Benzin,118 kW (160 PS),61 km Reichweite
Dodge,31999,- (g/km),"21,1 kWh/100 km (kombiniert, gewichtet)",66.227 km,Automatik,01/2018,Benzin
Mercedes-Benz,184900,295 kW (401 PS),- (g/km),28.000 km,Automatik,01/2023,Benzin
Audi,24990,405 kW (551 PS),0 g/km (komb.) | - (l/100 km),53.553 km,Automatik,02/2018,Benzin
MINI,21490,140 kW (190 PS),"137 g/km (komb.) | 5,9 l/100 km (komb.)",10.360 km,Automatik,11/2021,Elektro
BMW,76980,135 kW (184 PS),233 km Reichweite,"0 g/km (komb.) | 17,6 kWh/100 km (komb.)",43.945 km,Automatik,10/2020
Hyundai,8790,Benzin,250 kW (340 PS),"199 g/km (komb.) | 8,7 l/100 km (komb.)",112.680 km,Schaltgetriebe,06/2015
BMW,76980,Benzin,74 kW (101 PS),"133 g/km (komb.) | 5,6 l/100 km (komb.)",43.945 km,Automatik,10/2020
Renault,26999,Benzin,250 kW (340 PS),"199 g/km (komb.) | 8,7 l/100 km (komb.)",10 km,Automatik,- (Erstzulassung)
Renault,26444,Benzin,116 kW (158 PS),"124 g/km (komb.) | 5,4 l/100 km (komb.)",10 km,Schaltgetriebe,- (Erstzulassung)
