,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
34009,Honda, Jazz,"£26,750",2023,Automatic,58.9 mpg,Tax: £170,"Mileage: 2,444",Hybrid,white,z 1.5 i-MMD Hybrid Crosstar Advance 5dr eCVT
34010,Honda, Jazz,"£15,550",2018,Automatic,57.6 mpg,Tax: £180,"Mileage: 10,445",Petrol,white,z 1.3 i-VTEC EX 5dr CVT
34011,Honda, Jazz,"£15,391",2019,Automatic,42.8 mpg,Tax: £180,"Mileage: 18,170",Petrol,white,z 1.5 i-VTEC Sport 5dr Navi CVT
34012,Honda, Jazz,"£17,999",2020,Automatic,62.8 mpg,Tax: £170,"Mileage: 15,000",Other,white,1.5 I-MMD SR 5d AUTO 108 BHP
34013,Honda, Jazz,"£10,999",2018,Manual,48.7 mpg,Tax: £180,"Mileage: 23,085",Petrol,white,1.3 I-VTEC SE 5d 101 BHP
34014,Honda, HRV,"£18,999",2023,Manual,54.3 mpg,Tax: £180,"Mileage: 41,757",Diesel,white,1.6 I-DTEC EX 5d 118 BHP
34015,Honda, HRV,"£18,693",2020,Automatic,41.5 mpg,Tax: £180,"Mileage: 33,110",Petrol,white,V 1.5 i-VTEC EX CVT 5dr
34016,Honda, Jazz,"£21,299",2020,Automatic,61.4 mpg,Tax: £170,"Mileage: 10,995",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
34103,Honda, Jazz,"£11,790",2019,Manual,48.7 mpg,Tax: £180,"Mileage: 15,400",Petrol,white,z 1.3 i-VTEC S 5dr
34104,Honda, CRV,"£24,499",2020,Automatic,32.5 mpg,Tax: £180,"Mileage: 31,250",Petrol,white,V 1.5 VTEC Turbo SR 5dr CVT
34105,Honda, Civic,"£13,999",2020,Manual,46.3 mpg,Tax: £180,"Mileage: 41,870",Petrol,white,c 1.0 VTEC Turbo 126 SR 5dr
34106,Honda, Jazz,"£21,999",2023,Automatic,62.8 mpg,Tax: £170,Mileage: 273,Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34107,Honda, Jazz,"£15,499",2021,Automatic,62.8 mpg,Tax: £170,"Mileage: 51,241",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34108,Honda, Jazz,"£15,499",2021,Automatic,62.8 mpg,Tax: £170,"Mileage: 53,274",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34109,Honda, Civic,"£11,999",2017,Manual,55.4 mpg,Tax: £180,"Mileage: 55,544",Petrol,white,c 1.0 VTEC Turbo SR 5dr
34110,Honda, CRV,"£14,999",2017,Manual,55.4 mpg,Tax: £180,"Mileage: 35,804",Diesel,white,V 1.6 i-DTEC 160 SR 5dr
34111,Honda, Jazz,"£19,695",2022,Automatic,62.8 mpg,Tax: £170,"Mileage: 9,974",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34196,Honda, Jazz,"£18,695",2020,Automatic,62.8 mpg,Tax: £170,"Mileage: 12,058",Hybrid,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34197,Honda, CRV,"£14,495",2017,Manual,37.2 mpg,Tax: £320,"Mileage: 49,031",Petrol,white,V 2.0 i-VTEC SR 5dr
34198,Honda, Jazz,"£21,795",2021,Automatic,61.4 mpg,Tax: £170,"Mileage: 10,537",Hybrid,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
34199,Honda, Civic,"£16,495",2017,Automatic,56.5 mpg,Tax: £180,"Mileage: 14,169",Petrol,white,c 1.0 VTEC Turbo EX 5dr CVT
34200,Honda, Jazz,"£17,300",2021,Automatic,62.8 mpg,Tax: £170,"Mileage: 17,130",Hybrid,white,z 1.5 i-MMD Hybrid SE 5dr eCVT
34201,Honda, Civic,"£17,995",2020,Manual,50.4 mpg,Tax: £180,"Mileage: 22,213",Petrol,white,c 1.5 VTEC Turbo Sport 5dr
34202,Honda, CRV,"£18,995",2018,Automatic,37.7 mpg,Tax: £180,"Mileage: 33,760",Petrol,white,V 2.0 i-VTEC SE Plus 5dr Auto [Nav]
34203,Honda, CRV,"£22,600",2019,Automatic,31.7 mpg,Tax: £180,"Mileage: 29,932",Petrol,white,V 1.5 VTEC Turbo EX 5dr CVT
34204,Honda, Civic,"£15,549",2020,Manual,45.6 mpg,Tax: £180,"Mileage: 27,926",Petrol,white,c 1.0 VTEC Turbo 126 Sport Line 5dr
34205,Honda, Civic,"£13,700",2018,Manual,80.7 mpg,Tax: £180,"Mileage: 40,098",Diesel,white,1.6 i-DTEC EX 5dr
34291,Honda, CRV,"£16,495",2019,Manual,35.8 mpg,Tax: £180,"Mileage: 65,505",Petrol,white,1.5 VTEC Turbo SR 5dr FULL HONDA HISTORY
34292,Honda, Jazz,"£20,495",2020,Automatic,58.9 mpg,Tax: £170,"Mileage: 19,246",Other,white,z 1.5 h i-MMD Crosstar EX eCVT Euro 6 (s/s) 5dr
34293,Honda, Jazz,"£9,300",2018,Manual,55.4 mpg,Tax: £165,"Mileage: 80,251",Petrol,white,1.3 EX 5dr
34294,Honda, Civic,"£32,990",2022,Automatic,56.5 mpg,Tax: £170,"Mileage: 11,696",Other,white,2.0 eHEV Sport 5dr CVT
34295,Honda, Jazz,"£22,490",2021,Automatic,61.4 mpg,Tax: £155,"Mileage: 12,268",Other,white,z 1.5 i-MMD Hybrid EX 5dr eCVT
34296,Honda, Jazz,"£20,990",2020,Automatic,61.4 mpg,Tax: £170,"Mileage: 13,831",Other,white,1.5 i-MMD Hybrid EX 5dr eCVT
34297,Honda, CRV,"£30,490",2021,Automatic,39.8 mpg,Tax: £170,"Mileage: 16,799",Other,white,V 2.0 i-MMD Hybrid SR 5dr eCVT
34298,Honda, Jazz,"£19,990",2021,Automatic,62.8 mpg,Tax: £155,"Mileage: 17,099",Other,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34299,Honda, Jazz,"£19,990",2021,Automatic,62.8 mpg,Tax: £170,"Mileage: 19,200",Other,white,z 1.5 i-MMD Hybrid SR 5dr eCVT
34300,Honda, Jazz,"£15,690",2019,Automatic,47.9 mpg,Tax: £180,"Mileage: 16,858",Petrol,white,z 1.3 i-VTEC SE Navi 5dr CVT
34383,Honda, HRV,"£14,700",2018,Automatic,52.3 mpg,Tax: £180,"Mileage: 57,444",Petrol,white,V 1.5 I-VTEC EX 5d 129 BHP
34384,Honda, Civic,"£10,995",2017,Manual,55.4 mpg,Tax: £180,"Mileage: 57,000",Petrol,white,c HATCHBACK
34385,Honda, CRV,"£49,995",2023,Automatic,0.8 mpg,Tax: £170,"Mileage: 1,000",Other,white,V 2.0 17.7kWh Advance Tech eCVT Euro 6 (s/s) 5dr
